name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Petrified Forest NP,602,612,716,281,492,432,406,586,588,477,579,682,924,"1,087",872,907,927,545,638,761,464,623,579,357,308,"1,213",272,142,198,174,276,300,252,257,264,252
Golden Gate NRA,0,0,0,0,241,"2,288","2,292","2,427","2,592","2,264","1,913","2,327","2,328","2,578","2,328","2,328","2,328","2,948","2,266","3,797","3,088","3,184","2,823","3,338","2,750","3,076","2,501","2,767","3,584","3,364","2,936","2,831","3,556","3,442","3,486","4,095"
Canaveral NS,0,0,0,80,269,180,213,447,478,336,457,948,965,"1,581","2,549","2,122","1,900","3,215","5,185","2,311","2,142","2,189","4,332","3,694","3,931","2,308","2,277","2,883","2,900","2,474","2,081","2,702","3,146","2,769","2,128","3,161"
Big Thicket NPRES,0,0,127,290,289,593,540,392,471,726,759,"1,307","1,565","1,523","2,073","2,191","2,092","2,328","1,192","1,206","1,103","1,474","1,257","1,512","1,764",938,"1,488","1,125","1,202",924,"2,722","1,932","1,891","2,807","2,461","2,450"
Redwood NP,"1,501","1,721",770,755,823,"1,401","1,950","1,438","1,437","3,192","1,156","2,191","2,261","4,149","8,280","8,222","9,138","14,436","16,010","9,125","9,545","10,357","4,049","7,889","9,833","1,736","1,620","1,407","1,310","1,521","1,541","1,758","1,294","1,362","3,567","3,676"
Black Canyon of the Gunnison NP,"11,925","13,032","11,804","11,414","10,309","8,721","2,574","2,642","2,867","2,214","2,352","5,332","10,069","9,601","10,640","6,509","7,168","5,912","4,940","5,803","7,419","7,446","7,318","6,355","5,726","6,948","6,691","6,410","7,271","7,021","7,341","8,165","9,919","10,057","9,949","9,685"
Congaree NP,0,0,0,0,0,0,55,92,382,322,274,181,167,330,260,455,293,195,312,249,288,631,454,439,212,477,490,686,795,"1,084",861,"1,174","1,176",867,579,460
Great Basin NP,0,0,0,0,0,0,0,0,"16,457","21,099","23,205","24,271","18,688","25,591","28,461","17,527","19,228","19,647","20,163","13,389","17,940","18,287","22,480","21,196","18,991","13,233","15,551","14,056","14,335","14,248","16,295","18,523","21,090","21,271","20,674","22,621"
Prince William Forest Park,"18,194","23,146","19,353","16,153","15,268","13,057","16,683","16,913","15,072","15,901","14,327","13,074","14,860","13,204","13,312","14,282","14,616","6,707","5,642","8,503","8,177","6,908","11,706","2,957","2,366","4,608","5,653","2,972","2,405","2,824","4,206","2,387","2,231","4,698","9,253","19,955"
"John D. Rockefeller, Jr. MEM PKWY","2,938","3,891","2,169","1,758","2,075","3,838","4,361","4,556","5,776","5,358","3,815","1,764","4,083","5,618","2,255","2,211","2,324","2,113","1,986","1,911","2,011","2,219","2,524","2,626","2,751","1,818","3,467","3,227","2,524","3,078","2,558","2,677","1,253","2,986",48,"1,642"
Grand Portage NM,386,465,319,313,221,267,294,239,191,187,106,159,116,74,109,142,272,89,92,70,145,83,103,179,46,66,67,154,99,125,60,210,149,200,32,48
Knife River Indian Villages NHS,0,0,0,0,8,135,0,221,137,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobuk Valley NP,0,0,0,895,100,145,240,185,120,640,355,253,243,259,262,256,0,256,256,0,0,0,0,50,35,0,148,509,292,334,818,503,"4,896","8,400","5,925",0
Craters of the Moon NM,"3,909","6,533","6,673","5,852","4,214","4,509","3,771","3,438","3,601","1,957","1,727","1,973","6,917","8,729","9,194","8,153","7,462","6,117","5,921","6,196","6,042","5,364","5,019","5,487","5,218","5,096","4,932","4,453","4,930","4,374","5,392","5,891","5,942","6,199","6,720","6,956"
Catoctin Mountain Park,"6,925","7,752","7,137","7,531","6,585","6,179","7,052","7,278","6,943","6,794","6,607","7,355","8,441","7,457","9,344","9,297","7,087","7,807","8,521","8,406","8,519","8,247","8,700","6,670","6,606","7,281","6,644","5,825","7,098","6,455","6,233","5,902","4,557","4,187","4,300","7,706"
Carlsbad Caverns NP,"1,570","1,245","1,437","1,534",923,252,256,159,91,351,122,147,161,164,165,273,319,303,393,922,257,140,157,162,160,155,137,95,93,86,114,170,107,151,176,146
Badlands NP,"3,786","15,810","14,220","9,610","10,925","11,036","10,436","10,537","10,552","13,485","15,382","15,242","5,602","27,097","28,078","33,751","29,798","24,696","21,441","19,370","24,977","30,205","27,574","23,192","25,622","24,225","18,668","17,578","16,211","14,787","25,388","3,542","2,645","2,182","9,318","8,622"
Colorado NM,"9,271","9,110","9,188","8,169","8,498","7,460","8,618","9,467","7,497","7,127","7,928","6,805","8,353","10,643","10,118","9,642","11,215","11,238","11,033","11,363","9,912","10,611","10,224","9,243","9,433","9,920","9,673","7,522","8,516","8,318","8,883","9,595","10,131","9,793","9,575","10,997"
Wind Cave NP,"6,814","6,069","5,692","4,399","5,355","7,208","6,865","6,707","7,456","5,597","5,628","6,551","8,148","7,612","7,498","5,858","6,621","2,155","1,982","6,748","5,757","5,594","4,897","5,367","4,974","3,600","3,352","2,809","3,023","4,069","1,035","1,623","1,645","3,601","5,866","3,814"
